HSPA9_chr5_137903143_137904641	chr5:138567454-138568952	chr5:138567648-138567722
ACIN1_chr14_23530506_23531732	chr14:23061297-23062523	chr14:23062167-23062275
MED6_chr14_71050802_71058098	chr14:70584085-70591381	chr14:70585755-70585783
AIDA_chr1_222841354_222846777	chr1:222668012-222673435	chr1:222670132-222670250
SYNCRIP_chr6_86328535_86332405	chr6:85618817-85622687	chr6:85619267-85619417
COPA_chr1_160278890_160281808	chr1:160309100-160312018	chr1:160310191-160310258
CCT2_chr12_69991417_69993784	chr12:69597637-69600004	chr12:69598321-69598421
MAT2A_chr2_85768205_85768868	chr2:85541082-85541745	chr2:85541254-85541377
CKAP5_chr11_46772895_46775047	chr11:46751345-46753497	chr11:46752634-46752710
POLR2B_chr4_57889827_57891165	chr4:57023661-57024999	chr4:57024004-57024112
MORF4L1_chr15_79186399_79190075	chr15:78894057-78897733	chr15:78894819-78894904
BCL2L13_chr22_18138427_18211465	chr22:17655661-17728699	chr22:17696140-17696210
KPNB1_chr17_45750383_45752148	chr17:47673017-47674782	chr17:47673489-47673561
SART3_chr12_108924980_108929244	chr12:108531203-108535468	chr12:108532221-108532334
CDK4_chr12_58142973_58146116	chr12:57749190-57752333	chr12:57751499-57751736
CTDP1_chr18_77474490_77496521	chr18:79714490-79736521	chr18:79728906-79729069
GDI2_chr10_5807191_5811352	chr10:5765228-5769389	chr10:5766240-5766638
SF1_chr11_64536897_64537880	chr11:64769425-64770408	chr11:64769963-64770053
YEATS4_chr12_69764485_69784411	chr12:69370705-69390631	chr12:69370887-69370975
TMX1_chr14_51716185_51722759	chr14:51249467-51256041	chr14:51249692-51249765
LMCD1_chr3_8543508_8590549	chr3:8501822-8548863	chr3:8514924-8514995
ASUN_chr12_27081635_27091254	chr12:26928702-26938321	chr12:26934555-26934630
MOB4_chr2_198400253_198405161	chr2:197535529-197540437	chr2:197540110-197540153
PRC1_chr15_91523471_91525211	chr15:90980241-90981981	chr15:90981498-90981669
RAI14_chr5_34811871_34814774	chr5:34811766-34814669	chr5:34812179-34812208
MED15_chr22_20922807_20937254	chr22:20568520-20582967	chr22:20582658-20582747
VDR_chr12_48249412_48251471	chr12:47855629-47857688	chr12:47857128-47857249
SPAG5_chr17_26911350_26912233	chr17:28584332-28585215	chr17:28584651-28584745
SOGA2_chr18_8819044_8826230	chr18:8819046-8826232	chr18:8821466-8821498
CORO1C_chr12_109046047_109052598	chr12:108652271-108658822	chr12:108657303-108657423
CDK4_chr12_58143002_58146304	chr12:57749219-57752521	chr12:57750922-57751090
NCAPH_chr2_97024782_97026448	chr2:96359044-96360710	chr2:96360142-96360249
REV1_chr2_100065797_100106497	chr2:99449335-99490035	chr2:99451344-99451501
ATP13A3_chr3_194134487_194146258	chr3:194413758-194425529	chr3:194419878-194419967
MPHOSPH6_chr16_82181766_82197799	chr16:82148161-82164194	chr16:82149308-82149403
PSMD4_chr1_151227184_151238915	chr1:151254708-151266439	chr1:151262160-151262301
DYNC1H1_chr14_102500312_102502979	chr14:102033975-102036642	chr14:102034324-102034452
UBXN4_chr2_136528140_136533921	chr2:135770570-135776351	chr2:135772419-135772547
EIF6_chr20_33868456_33872788	chr20:35280653-35284985	chr20:35284380-35284492
SPTAN1_chr9_131339407_131340524	chr9:128577128-128578245	chr9:128577351-128577506
RSPRY1_chr16_57247799_57250947	chr16:57213887-57217035	chr16:57216106-57216173
PPP2CA_chr5_133536025_133537712	chr5:134200334-134202021	chr5:134200984-134201074
ODC1_chr2_10584220_10585175	chr2:10444094-10445049	chr2:10444473-10444547
LBR_chr1_225600155_225605882	chr1:225412453-225418180	chr1:225415277-225415332
EXOSC9_chr4_122735020_122738064	chr4:121813865-121816909	chr4:121816368-121816447
IPO5_chr13_98667979_98670958	chr13:98015725-98018704	chr13:98016728-98016851
GDI2_chr10_5807916_5810347	chr10:5765953-5768384	chr10:5766493-5766638
PSMD1_chr2_232026053_232029949	chr2:231161339-231165235	chr2:231163634-231163727
MED15_chr22_20922807_20937254	chr22:20568520-20582967	chr22:20582610-20582747
MBIP_chr14_36780778_36783814	chr14:36311572-36314608	chr14:36311958-36312024
CCDC85A_chr2_56411257_56613308	chr2:56184122-56386173	chr2:56342878-56342955
SLC37A3_chr7_140037083_140055564	chr7:140337283-140355764	chr7:140345868-140345970
NUP54_chr4_77051808_77053872	chr4:76130655-76132719	chr4:76131229-76131284
KIAA1033_chr12_105546120_105551100	chr12:105152342-105157322	chr12:105156725-105156792
CDK4_chr12_58142964_58146105	chr12:57749181-57752322	chr12:57751206-57751342
YEATS2_chr3_183519242_183521976	chr3:183801454-183804188	chr3:183803255-183803335
DNAJA1_chr9_33026810_33030665	chr9:33026812-33030667	chr9:33029884-33029989
GTF2I_chr7_74114576_74119550	chr7:74700246-74705218	chr7:74700605-74700634
PDHA1_chrX_19368054_19375837	chrX:19349936-19357719	chrX:19351280-19351407
STX18_chr4_4425244_4436585	chr4:4423517-4434858	chr4:4425163-4425222
PRPF8_chr17_1563991_1564700	chr17:1660697-1661406	chr17:1660992-1661162
C12orf29_chr12_88439358_88443002	chr12:88045581-88049225	chr12:88046806-88046976
POT1_chr7_124482860_124492005	chr7:124842806-124851951	chr7:124846941-124846998
CNN3_chr1_95367224_95368744	chr1:94901668-94903188	chr1:94902120-94902258
MGEA5_chr10_103550652_103552700	chr10:101790895-101792943	chr10:101791353-101791439
OLA1_chr2_174937174_175006728	chr2:174072446-174142000	chr2:174078967-174079090
UGCG_chr9_114676884_114687158	chr9:111914604-111924878	chr9:111922816-111922951
GSPT1_chr16_11990414_12009825	chr16:11896557-11915968	chr16:11897839-11897881
SIPA1_chr11_65412425_65413849	chr11:65644954-65646378	chr11:65645853-65645957
FOXN3_chr14_89647044_89817152	chr14:89180700-89350808	chr14:89190383-89190449
ARHGAP11A_chr15_32920928_32925309	chr15:32628727-32633108	chr15:32629594-32629762
DLD_chr7_107531414_107543992	chr7:107890969-107903547	chr7:107902324-107902393
PPP1R37_chr19_45596217_45643864	chr19:45092959-45140606	chr19:45138513-45138611
JAK2_chr9_4985244_5022213	chr9:4985244-5022213	chr9:4985939-4986022
MPHOSPH6_chr16_82181766_82185119	chr16:82148161-82151514	chr16:82149308-82149403
FAM3C_chr7_121000096_121004242	chr7:121360042-121364188	chr7:121362896-121362947
CDC123_chr10_12251965_12257834	chr10:12209966-12215835	chr10:12210289-12210322
OGFRL1_chr6_72003235_72006520	chr6:71293532-71296817	chr6:71296316-71296395
MRPL51_chr12_6601312_6602764	chr12:6492146-6493598	chr12:6492861-6492972
UBE2C_chr20_44441312_44443109	chr20:45812673-45814470	chr20:45813436-45813464
PPP4R1_chr18_9583114_9584826	chr18:9583116-9584828	chr18:9584514-9584580
ZBED3_chr5_76367896_76383148	chr5:77072071-77087323	chr5:77078593-77078728
AGFG1_chr2_228401340_228416833	chr2:227536624-227552117	chr2:227536900-227536993
FNDC3B_chr3_171757417_171851336	chr3:172039627-172133546	chr3:172112451-172112590
VDAC3_chr8_42249373_42251796	chr8:42391855-42394278	chr8:42393810-42393884
MDM2_chr12_69202987_69210725	chr12:68809207-68816945	chr12:68814602-68814689
CACYBP_chr1_174975880_174977842	chr1:175006744-175008706	chr1:175007097-175007197
